"ID";"Gruppe";"KurzBez";"Bezeichnung";"Grundschule";"Tabelle";"DBFeld";"Typ";"Control";"WerteAnzeige";"WerteSQL";"LookupInfo";"OperatorenAnzeige";"OperatorenSQL";"Zusatzbedingung";"ZusatzTabellen"
63;S;abgebende Schule;Schüler: abgebende Schule;+;Schueler;LSSchulNr;C;DBLOOKUP;;;"dsSchule;Name;SchulNr";"gleich;ungleich;enthält;beginnt mit;leer;nicht leer";"=;<>;LIKE;like;IS NULL;IS NOT NULL";;
64;S;aufnehmende Schule;Schüler: aufnehmende Schule;+;Schueler;SchulwechselNr;C;DBLOOKUP;;;"dsSchule;Name;SchulNr";"gleich;ungleich;enthält;beginnt mit;leer;nicht leer";"=;<>;LIKE;like;IS NULL;IS NOT NULL";;
66;S;Schulwechseldatum;Schüler: Schulwechseldatum;+;Schueler;Schulwechseldatum;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
67;WA;Adressart;Weitere Adressen: Adressart;+;K_AllgAdresse;AllgAdrAdressArt;C;DBLOOKUP;;;"dsAdressArt;Bezeichnung;Bezeichnung";"gleich;ungleich;enthält;beginnt mit";"=;<>;LIKE;like";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
68;WA;Name1;Weitere Adressen: Name1;+;K_AllgAdresse;AllgAdrName1;C;EDIT;;;;"enthält;beginnt mit;gleich;ungleich";"LIKE;like;=;<>";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
69;WA;Name2;Weitere Adressen: Name2;+;K_AllgAdresse;AllgAdrName2;C;EDIT;;;;"enthält;beginnt mit;gleich;ungleich";"LIKE;like;=;<>";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
70;WA;Postleitzahl;Weitere Adressen: PLZ;+;K_AllgAdresse;AllgAdrPLZ;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;enthält nicht;beginnt mit;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;NOT LIKE;like;IS NULL;IS NOT NULL";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
71;S;Beschäftigungsart;Schüler: Beschäftigungsart;-;Schueler_AllgAdr;Vertragsart_ID;N;DBLOOKUP;;;"dsBeschaeftigungsArt;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=Schueler_AllgAdr.Schueler_ID;
72;S;Vertragsbeginn;Schüler: Vertragsbeginn;-;Schueler_AllgAdr;Vertragsbeginn;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";Schueler.ID=Schueler_AllgAdr.Schueler_ID;
73;S;Vertragsende;Schüler: Vertragsende;-;Schueler_AllgAdr;Vertragsende;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";Schueler.ID=Schueler_AllgAdr.Schueler_ID;
74;S;Praktikum;Schüler: Praktikum;-;Schueler_AllgAdr;Praktikum;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;Schueler.ID=Schueler_AllgAdr.Schueler_ID;
75;S;Ausbilder;Schüler: Ausbilder;-;Schueler_AllgAdr;Ausbilder;C;EDIT;;;;"enthält;beginnt mit;gleich;ungleich";"LIKE;like;=;<>";Schueler.ID=Schueler_AllgAdr.Schueler_ID;
76;S;Betrieb erhält Anschreiben;Schüler: Betrieb erhält Anschreiben;-;Schueler_AllgAdr;AllgAdrAnschreiben;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;Schueler.ID=Schueler_AllgAdr.Schueler_ID;
77;S;Jahrgang;Schüler: Jahrgang;+;EigeneSchule_Jahrgaenge;Sortierung;N;DBLOOKUP;;;"dsEigeneSchule_Jahrgaenge;InternKrz;Sortierung";"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;<>;>;>=;<;<=;IS NULL;IS NOT NULL";Schueler.Jahrgang_ID=EigeneSchule_Jahrgaenge.ID;
78;S;Fachklasse;Schüler: Fachklasse;-;Schueler;Fachklasse_ID;N;DBLOOKUP;;;"dsEigeneSchule_Fachklassen;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
79;E;Anrede 2. Person;Erzieher: Anrede 2.Person;+;SchuelerErzAdr;Anrede2;C;LOOKUP;"Herr;Frau";"Herr;Frau";;"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
80;E;Ortsname;Erzieher: Ortsname;+;K_Ort;Bezeichnung;C;EDIT;;;;"gleich;ungleich;enthält;beginnt mit";"=;<>;LIKE;like";Schueler.ID=SchuelerErzAdr.Schueler_ID AND K_Ort.PLZ=SchuelerErzAdr.ErzPLZ;SchuelerErzAdr
81;S;Beruf;Schüler: Beruf;-;Schueler;Beruf;C;EDIT;;;;"gleich;ungleich;enthält;beginnt mit;leer;nicht leer";"=;<>;LIKE;like;IS NULL;IS NOT NULL";;
82;WA;Branche;Weitere Adressen: Branche;-;K_AllgAdresse;AllgAdrBranche;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;enthält nicht;beginnt mit;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;NOT LIKE;like;IS NULL;IS NOT NULL";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
83;WA;Zusatz 1;Weitere Adressen: Zusatz 1;-;K_AllgAdresse;AllgAdrZusatz1;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;enthält nicht;beginnt mit;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;NOT LIKE;like;IS NULL;IS NOT NULL";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
84;WA;Zusatz 2;Weitere Adressen: Zusatz 2;-;K_AllgAdresse;AllgAdrZusatz2;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;enthält nicht;beginnt mit;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;NOT LIKE;like;IS NULL;IS NOT NULL";Schueler_AllgAdr.Adresse_ID=K_AllgAdresse.ID AND Schueler.ID=Schueler_AllgAdr.Schueler_ID;Schueler_AllgAdr
